Aufnahmesigle;Ort;Y;X;Beleg;Infinitivrektion;Kommentar
ZW--_E_05784;Kirchlengern;52,2;8,63;Chor von achtzehn Mann aufstellen, die brauchten dann nicht zu arbeiten. Und dann haben wir immer;NULL;
ZW--_E_05790;Rödinghausen;52,26;8,48;zu Runkeln und Kartoffeln düngen, da braucht meine Frau heutzutage nicht mehr zu tun ;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_05792;Rödinghausen;52,26;8,48;sich auch von selbst ab. Da braucht man also nicht mehr beizustehen wir früher an der Mühle;NULL;
ZW--_E_05792;Rödinghausen;52,26;8,48;Wenn man mit Rohr flicht, braucht man keine Weiden zu spalten. Sonst muss man zuerst;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_05796;Rödinghausen;52,26;8,48;sagt, auf die Dörfer. Nun brauchten die Leute nicht mehr den weiten Weg nach Bünde hin laufen ;NULL;
ZW--_E_05797;Rödinghausen;52,26;8,48;die Kartoffeln bald reif waren, dann brauchte man sich nicht zu wundern, wenn am anderen Morgen;NULL;
ZW--_E_05800;Rödinghausen;52,26;8,48;Und die war von Wildungen angekauft, brauchte nicht erweitert werden, konnten sie so weiterbrauchen, wie;NULL;
ZW--_E_05804;Bünde;52,2;8,59;sie waren immer pünktlich, da brauchten sie gar nicht erst fragen: wie ist das,;ZU;
ZW--_E_05807;Bünde;52,2;8,59;Da war schönes Stroh gestreut und wir brauchten uns nicht auszuziehen, es ging so hinein ins Heu;NULL;
ZW--_E_05808;Bünde;52,2;8,59;Sie haben mir gesagt, um mich brauchte sich keiner zu bekümmern. Ich wäre ja geweg da;NULL;
ZW--_E_05809;Bünde;52,2;8,59;er seinen auch drin liegen, da brauchte man nur anzuheben. Er zog den Dümmel dann unter;NULL;
ZW--_E_05810;Südlengern;52,19;8,64;kam, der sagte gar nichts. Brauchte auch nichts zu sagen, das hatte die Mutter alles;NULL;
ZW--_E_05810;Südlengern;52,19;8,64;ich mache das. Ich sage: Brauchst du dich gar nicht drum bekümmern. Ich sage:;NULL;
ZW--_E_05818;Bünde;52,2;8,59;sagt: Ein Äoert. Aber das braucht Onkel Wilhelm nicht zu wissen, sagt Onkel Gustav dann;ZU;
ZW--_E_05819;Bünde;52,2;8,59;nein, ein Bauer, der braucht gar nicht so klug sein! Ich habe auch nicht;NULL;
ZW--_E_05820;Bünde;52,2;8,59;das wissen ja die meisten, das brauche ich alles nicht zu schildern und dann mittags, wenn;NULL;
ZW--_E_05822;Bünde;52,2;8,59;das Bein wieder richtig hin. Ich brauchte nicht humpeln, nichts. Ist alles wieder gut geworden;NULL;
ZW--_E_05826;Vlotho;52,17;8,85;das habe ich ja nicht mehr mitmachen brauchen. Aber nachher hat mein Vater das dann oft erzählt;NULL;
ZW--_E_05827;Vlotho;52,17;8,85;ab und essen es auf. Dann brauchen wir keine Doktorkosten zu bezahlen und wir haben was zu;ZU;Audiodatei passt nicht zum Textabschnitt
ZW--_E_05830;Vlotho;52,17;8,85;mit dem wir das lernten. Dann brauchten wir aber nicht im Trupp dreschen, für uns mit;NULL;
ZW--_E_05831;Vlotho;52,17;8,85;: Zwei Raben! Na, das brauche ich wohl nicht zu erzählen, wieviel Schläge dass der;NULL;
